year,population,country-code
2003,612267,499
2004,613353,499
2005,614261,499
2006,615025,499
2007,615875,499
2008,616969,499
2009,618294,499
2010,619428,499
2011,620079,499
2012,620601,499
2013,621207,499
2014,621810,499
2015,622159,499
2016,622303,499
2017,622373,499
2018,622227,499
2019,622028,499
2020,621306,499
1990,24807461,504
1991,25260407,504
1992,25711410,504
1993,26155204,504
1994,26584473,504
1995,26994255,504
1996,27383472,504
1997,27754573,504
1998,28110447,504
1999,28455504,504
2000,28793672,504
2001,29126323,504
2002,29454765,504
2003,29782884,504
2004,30115196,504
2005,30455563,504
2006,30804689,504
2007,31163670,504
2008,31536807,504
2009,31929087,504
2010,32343384,504
2011,32781860,504
2012,33241898,504
2013,33715705,504
2014,34192358,504
2015,34663608,504
2016,35126274,504
2017,35581257,504
2018,36029089,504
2019,36471766,504
2020,36910558,504
1990,12987292,508
1991,13328029,508
1992,13805999,508
1993,14370950,508
1994,14948050,508
1995,15483277,508
1996,15960445,508
1997,16397175,508
1998,16813946,508
1999,17244176,508
2000,17711925,508
2001,18221884,508
2002,18764147,508
2003,19331097,508
2004,19910549,508
2005,20493927,508
2006,21080108,508
2007,21673319,508
2008,22276596,508
2009,22894718,508
2010,23531567,508
2011,24187500,508
2012,24862673,508
2013,25560752,508
2014,26286192,508
2015,27042001,508
2016,27829930,508
2017,28649007,508
2018,29496009,508
2019,30366043,508
2020,31255435,508
1990,41335188,104
1991,41890192,104
1992,42401686,104
1993,42889992,104
1994,43383421,104
1995,43901598,104
1996,44452203,104
1997,45027223,104
1998,45611220,104
1999,46181075,104
2000,46719698,104
2001,47225119,104
2002,47702163,104
2003,48148907,104
2004,48564489,104
2005,48949931,104
2006,49301049,104
2007,49621479,104
2008,49929642,104
2009,50250366,104
2010,50600827,104
2011,50990612,104
2012,51413703,104
2013,51852464,104
2014,52280816,104
2015,52680724,104
2016,53045199,104
2017,53382521,104
2018,53708318,104
2019,54045422,104
2020,54409794,104
1990,1432899,516
1991,1476399,516
1992,1516951,516
1993,1555098,516
1994,1591826,516
1995,1627866,516
1996,1663378,516
1997,1698029,516
1998,1731635,516
1999,1763861,516
2000,1794583,516
2001,1823667,516
2002,1851519,516
2003,1879113,516
2004,1907737,516
2005,1938316,516
2006,1971318,516
2007,2006516,516
2008,2043382,516
2009,2081039,516
2010,2118877,516
2011,2156698,516
2012,2194777,516
2013,2233506,516
2014,2273426,516
2015,2314901,516
2016,2358044,516
2017,2402623,516
2018,2448300,516
2019,2494524,516
2020,2540916,516
1990,9506,520
1991,9766,520
1992,10030,520
1993,10287,520
1994,10496,520
1995,10626,520
1996,10677,520
1997,10643,520
1998,10567,520
1999,10449,520
2000,10335,520
2001,10219,520
2002,10102,520
2003,9990,520
2004,9906,520
2005,9848,520
2006,9827,520
2007,9846,520
2008,9880,520
2009,9945,520
2010,10009,520
2011,10069,520
2012,10136,520
2013,10208,520
2014,10289,520
2015,10374,520
2016,10474,520
2017,10577,520
2018,10678,520
2019,10764,520
2020,10834,520
1990,18905480,524
1991,19405506,524
1992,19938322,524
1993,20489973,524
1994,21040899,524
1995,21576074,524
1996,22090352,524
1997,22584772,524
1998,23057875,524
1999,23509971,524
2000,23941099,524
2001,24347113,524
2002,24725625,524
2003,25080880,524
2004,25419337,524
2005,25744500,524
2006,26066687,524
2007,26382586,524
2008,26666581,524
2009,26883531,524
2010,27013207,524
2011,27041220,524
2012,26989160,524
2013,26916795,524
2014,26905982,524
2015,27015033,524
2016,27263430,524
2017,27632682,524
2018,28095712,524
2019,28608715,524
2020,29136808,524
1990,14951510,528
1991,15069798,528
1992,15184166,528
1993,15290368,528
1994,15382838,528
1995,15459006,528
1996,15530498,528
1997,15610650,528
1998,15707209,528
1999,15812088,528
2000,15925513,528
2001,16046180,528
2002,16148929,528
2003,16225302,528
2004,16281779,528
2005,16319868,528
2006,16346101,528
2007,16381696,528
2008,16445593,528
2009,16530388,528
2010,16615394,528
2011,16693074,528
2012,16754962,528
2013,16804432,528
2014,16865008,528
2015,16939923,528
2016,17030314,528
2017,17131296,528
2018,17231624,528
2019,17344874,528
2020,17441500,528
1990,170899,540
1991,175362,540
1992,179799,540
1993,184496,540
1994,189482,540
1995,193816,540
1996,197564,540
1997,201418,540
1998,205279,540
1999,209214,540
2000,213230,540
2001,217324,540
2002,221490,540
2003,225296,540
2004,228750,540
2005,232250,540
2006,235750,540
2007,239250,540
2008,242750,540
2009,245950,540
2010,249750,540
2011,254350,540
2012,259000,540
2013,263650,540
2014,268050,540
2015,268700,540
2016,269350,540
2017,270000,540
2018,270650,540
2019,271300,540
2020,271960,540
1990,3329800,554
1991,3495100,554
1992,3531700,554
1993,3572200,554
1994,3620000,554
1995,3673400,554
1996,3732000,554
1997,3781300,554
1998,3815000,554
1999,3835100,554
2000,3857700,554
2001,3880500,554
2002,3948500,554
2003,4027200,554
2004,4087500,554
2005,4133900,554
2006,4184600,554
2007,4223800,554
2008,4259800,554
2009,4302600,554
2010,4350700,554
2011,4384000,554
2012,4408100,554
2013,4442100,554
2014,4516500,554
2015,4609400,554
2016,4714100,554
2017,4813600,554
2018,4900600,554
2019,4979300,554
2020,5084300,554
1990,4173435,558
1991,4267570,558
1992,4364514,558
1993,4462496,558
1994,4559010,558
1995,4652185,558
1996,4741571,558
1997,4827658,558
1998,4910642,558
1999,4991041,558
2000,5069310,558
2001,5145367,558
2002,5219324,558
2003,5292115,558
2004,5364930,558
2005,5438692,558
2006,5513757,558
2007,5590066,558
2008,5667436,558
2009,5745538,558
2010,5824058,558
2011,5903035,558
2012,5982530,558
2013,6062462,558
2014,6142734,558
2015,6223234,558
2016,6303970,558
2017,6384843,558
2018,6465502,558
2019,6545503,558
2020,6624554,558
1990,8026592,562
1991,8288739,562
1992,8566773,562
1993,8860297,562
1994,9168316,562
1995,9490289,562
1996,9826600,562
1997,10178196,562
1998,10545720,562
1999,10929922,562
2000,11331561,562
2001,11751364,562
2002,12189988,562
2003,12647983,562
2004,13125914,562
2005,13624474,562
2006,14143969,562
2007,14685404,562
2008,15250913,562
2009,15843131,562
2010,16464025,562
2011,17114770,562
2012,17795209,562
2013,18504287,562
2014,19240182,562
2015,20001663,562
2016,20788789,562
2017,21602388,562
2018,22442831,562
2019,23310719,562
2020,24206636,562
1990,95212454,566
1991,97667632,566
1992,100161708,566
1993,102700751,566
1994,105293701,566
1995,107948339,566
1996,110668784,566
1997,113457661,566
1998,116319763,566
1999,119260055,566
2000,122283853,566
2001,125394046,566
2002,128596079,566
2003,131900634,566
2004,135320420,566
2005,138865014,566
2006,142538305,566
2007,146339971,566
2008,150269622,566
2009,154324939,566
2010,158503203,566
2011,162805080,566
2012,167228803,566
2013,171765819,566
2014,176404931,566
2015,181137454,566
2016,185960244,566
2017,190873247,566
2018,195874685,566
2019,200963603,566
2020,206139587,566
1990,1996218,807
1991,1993304,807
1992,1988659,807
1993,1984024,807
1994,1981713,807
1995,1983259,807
1996,1989441,807
1997,1996869,807
1998,2007523,807
1999,2017142,807
2000,2026350,807
2001,2034882,807
2002,2020157,807
2003,2026773,807
2004,2032544,807
2005,2036855,807
2006,2040228,807
2007,2043559,807
2008,2046898,807
2009,2050671,807
2010,2055004,807
2011,2058539,807
2012,2061044,807
2013,2064032,807
2014,2067471,807
2015,2070226,807
2016,2072490,807
2017,2074502,807
2018,2076217,807
2019,2076694,807
2020,2072531,807
1990,45752,580
1991,46662,580
1992,46473,580
1993,45763,580
1994,45361,580
1995,45872,580
1996,47518,580
1997,50052,580
1998,52999,580
1999,55633,580
2000,57453,580
2001,58319,580
2002,58412,580
2003,57954,580
2004,57240,580
2005,56547,580
2006,55886,580
2007,55215,580
2008,54621,580
2009,54194,580
2010,53971,580
2011,54013,580
2012,54306,580
2013,54786,580
2014,55301,580
2015,55779,580
2016,56187,580
2017,56553,580
2018,56889,580
2019,57213,580
2020,57557,580
1990,4241473,578
1991,4261732,578
1992,4286401,578
1993,4311991,578
1994,4336613,578
1995,4359184,578
1996,4381336,578
1997,4405157,578
1998,4431464,578
1999,4461913,578
2000,4490967,578
2001,4513751,578
2002,4538159,578
2003,4564855,578
2004,4591910,578
2005,4623291,578
2006,4660677,578
2007,4709153,578
2008,4768212,578
2009,4828726,578
2010,4889252,578
2011,4953088,578
2012,5018573,578
2013,5079623,578
2014,5137232,578
2015,5188607,578
2016,5234519,578
2017,5276968,578
2018,5311916,578
2019,5347896,578
2020,5379475,578
1990,1812158,512
1991,1893761,512
1992,1983272,512
1993,2072106,512
1994,2148416,512
1995,2204267,512
1996,2236652,512
1997,2249759,512
1998,2251859,512
1999,2254898,512
2000,2267973,512
2001,2294959,512
2002,2334860,512
2003,2386164,512
2004,2445524,512
2005,2511254,512
2006,2580753,512
2007,2657162,512
2008,2750956,512
2009,2876186,512
2010,3041435,512
2011,3251102,512
2012,3498031,512
2013,3764805,512
2014,4027255,512
2015,4267341,512
2016,4479217,512
2017,4665926,512
2018,4829476,512
2019,4974992,512
2020,5106622,512
1990,107647918,586
1991,110778655,586
1992,113911126,586
1993,117086680,586
1994,120362764,586
1995,123776835,586
1996,127349293,586
1997,131057432,586
1998,134843233,586
1999,138624625,586
2000,142343583,586
2001,145978408,586
2002,149549695,586
2003,153093371,586
2004,156664698,586
2005,160304007,586
2006,164022626,586
2007,167808106,586
2008,171648984,586
2009,175525610,586
2010,179424643,586
2011,183340168,586
2012,187280125,586
2013,191260799,586
2014,195305012,586
2015,199426953,586
2016,203631356,586
2017,207906210,586
2018,212228288,586
2019,216565317,586
2020,220892331,586
1990,15063,585
1991,15442,585
1992,15859,585
1993,16285,585
1994,16735,585
1995,17158,585
1996,17599,585
1997,18016,585
1998,18409,585
1999,18773,585
2000,19104,585
2001,19390,585
2002,19642,585
2003,19812,585
2004,19861,585
2005,19784,585
2006,19545,585
2007,19159,585
2008,18708,585
2009,18290,585
2010,17954,585
2011,17748,585
2012,17635,585
2013,17603,585
2014,17625,585
2015,17665,585
2016,17718,585
2017,17809,585
2018,17911,585
2019,18001,585
2020,18092,585
1990,2470946,591
1991,2523115,591
1992,2575949,591
1993,2629584,591
1994,2684117,591
1995,2739667,591
1996,2796291,591
1997,2853907,591
1998,2912318,591
1999,2971197,591
2000,3030333,591
2001,3089641,591
2002,3149195,591
2003,3209056,591
2004,3269356,591
2005,3330222,591
2006,3391673,591
2007,3453671,591
2008,3516204,591
2009,3579215,591
2010,3642691,591
2011,3706479,591
2012,3770635,591
2013,3835447,591
2014,3901311,591
2015,3968490,591
2016,4037073,591
2017,4106764,591
2018,4176868,591
2019,4246440,591
2020,4314768,591
1990,4615843,598
1991,4725543,598
1992,4836216,598
1993,4949053,598
1994,5065664,598
1995,5187063,598
1996,5314258,598
1997,5446633,598
1998,5581767,598
1999,5716166,598
2000,5847590,598
2001,5974627,598
2002,6098621,598
2003,6223378,598
2004,6354247,598
2005,6494902,598
2006,6646891,598
2007,6808503,598
2008,6976200,598
2009,7144774,598
2010,7310512,598
2011,7472196,598
2012,7631003,598
2013,7788388,598
2014,7946733,598
2015,8107772,598
2016,8271766,598
2017,8438038,598
2018,8606324,598
2019,8776119,598
2020,8947027,598
1990,4223413,600
1991,4334348,600
1992,4445019,600
1993,4555518,600
1994,4666096,600
1995,4776838,600
1996,4887638,600
1997,4998096,600
1998,5107840,600
1999,5216346,600
2000,5323202,600
2001,5428442,600
2002,5531958,600
2003,5632983,600
2004,5730556,600
2005,5824095,600
2006,5913212,600
2007,5998430,600
2008,6081296,600
2009,6163970,600
2010,6248017,600
2011,6333981,600
2012,6421510,600
2013,6510273,600
2014,6599524,600
2015,6688746,600
2016,6777878,600
2017,6867058,600
2018,6956069,600
2019,7044639,600
2020,7132530,600
1990,22071433,604
1991,22522383,604
1992,22966822,604
1993,23408135,604
1994,23851405,604
1995,24299168,604
1996,24753825,604
1997,25210957,604
1998,25658070,604
1999,26078295,604
2000,26459944,604
2001,26799289,604
2002,27100964,604
2003,27372217,604
2004,27624226,604
2005,27866140,604
2006,28102055,604
2007,28333050,604
2008,28562321,604
2009,28792663,604
2010,29027680,604
2011,29264314,604
2012,29506790,604
2013,29773986,604
2014,30090372,604
2015,30470739,604
2016,30926036,604
2017,31444299,604
2018,31989265,604
2019,32510462,604
2020,32971846,604
1990,61895169,608
1991,63454785,608
1992,65020124,608
1993,66593904,608
1994,68180846,608
1995,69784087,608
1996,71401743,608
1997,73030879,608
1998,74672009,608
1999,76325927,608
2000,77991757,608
2001,79672869,608
2002,81365260,608
2003,83051970,608
2004,84710544,608
2005,86326251,608
2006,87888675,608
2007,89405482,608
2008,90901967,608
2009,92414161,608
2010,93966784,608
2011,95570049,608
2012,97212639,608
2013,98871558,608
2014,100513137,608
2015,102113206,608
2016,103663812,608
2017,105172921,608
2018,106651394,608
2019,108116622,608
2020,109581085,608
1990,38110782,616
1991,38246193,616
1992,38363667,616
1993,38461408,616
1994,38542652,616
1995,38594998,616
1996,38624370,616
1997,38649660,616
1998,38663481,616
1999,38660271,616
2000,38258629,616
2001,38248076,616
2002,38230364,616
2003,38204570,616
2004,38182222,616
2005,38165445,616
2006,38141267,616
2007,38120560,616
2008,38125759,616
2009,38151603,616
2010,38042794,616
2011,38063255,616
2012,38063164,616
2013,38040196,616
2014,38011735,616
2015,37986412,616
2016,37970087,616
2017,37974826,616
2018,37974750,616
2019,37965475,616
2020,37899070,616
1990,9983218,620
1991,9960235,620
1992,9952494,620
1993,9964675,620
1994,9991525,620
1995,10026176,620
1996,10063945,620
1997,10108977,620
1998,10160196,620
1999,10217828,620
2000,10289898,620
2001,10362722,620
2002,10419631,620
2003,10458821,620
2004,10483861,620
2005,10503330,620
2006,10522288,620
2007,10542964,620
2008,10558177,620
2009,10568247,620
2010,10573100,620
2011,10557560,620
2012,10514844,620
2013,10457295,620
2014,10401062,620
2015,10358076,620
2016,10325452,620
2017,10300300,620
2018,10283822,620
2019,10286263,620
2020,10297081,620
1990,3537000,630
1991,3562110,630
1992,3585176,630
1993,3615497,630
1994,3649237,630
1995,3683103,630
1996,3724655,630
1997,3759430,630
1998,3781101,630
1999,3800081,630
2000,3810605,630
2001,3818774,630
2002,3823701,630
2003,3826095,630
2004,3826878,630
2005,3821362,630
2006,3805214,630
2007,3782995,630
2008,3760866,630
2009,3740410,630
2010,3721525,630
2011,3678732,630
2012,3634488,630
2013,3593077,630
2014,3534874,630
2015,3473232,630
2016,3406672,630
2017,3325286,630
2018,3193354,630
2019,3193694,630
2020,3281538,630
1990,476275,634
1991,487354,634
1992,495403,634
1993,501479,634
1994,507044,634
1995,513447,634
1996,522531,634
1997,535320,634
1998,551566,634
1999,570486,634
2000,592467,634
2001,615013,634
2002,640872,634
2003,681791,634
2004,753332,634
2005,865410,634
2006,1022704,634
2007,1218441,634
2008,1436670,634
2009,1654944,634
2010,1856329,634
2011,2035862,634
2012,2196078,634
2013,2336579,634
2014,2459202,634
2015,2565708,634
2016,2654379,634
2017,2724727,634
2018,2781682,634
2019,2832071,634
2020,2881060,634
1990,23201835,642
1991,23001155,642
1992,22794284,642
1993,22763280,642
1994,22730211,642
1995,22684270,642
1996,22619004,642
1997,22553978,642
1998,22507344,642
1999,22472040,642
2000,22442971,642
2001,22131970,642
2002,21730496,642
2003,21574326,642
2004,21451748,642
2005,21319685,642
2006,21193760,642
2007,20882982,642
2008,20537875,642
2009,20367487,642
2010,20246871,642
2011,20147528,642
2012,20058035,642
2013,19983693,642
2014,19908979,642
2015,19815616,642
2016,19702267,642
2017,19588715,642
2018,19473970,642
2019,19371648,642
2020,19257520,642
1990,147969407,643
1991,148394216,643
1992,148538197,643
1993,148458777,643
1994,148407912,643
1995,148375787,643
1996,148160129,643
1997,147915361,643
1998,147670784,643
1999,147214776,643
2000,146596869,643
2001,145976482,643
2002,145306497,643
2003,144648618,643
2004,144067316,643
2005,143518814,643
2006,143049637,643
2007,142805114,643
2008,142742366,643
2009,142785349,643
2010,142849468,643
2011,142960908,643
2012,143201721,643
2013,143506995,643
2014,143819667,643
2015,144096870,643
2016,144342397,643
2017,144496739,643
2018,144477859,643
2019,144406261,643
2020,144104080,643
1990,7288883,646
1991,7083928,646
1992,6702239,646
1993,6263758,646
1994,5936253,646
1995,5836490,646
1996,6013112,646
1997,6419898,646
1998,6962800,646
1999,7501238,646
2000,7933688,646
2001,8231150,646
2002,8427061,646
2003,8557160,646
2004,8680516,646
2005,8840220,646
2006,9043342,646
2007,9273759,646
2008,9524532,646
2009,9782770,646
2010,10039338,646
2011,10293333,646
2012,10549668,646
2013,10811538,646
2014,11083629,646
2015,11369066,646
2016,11668829,646
2017,11980960,646
2018,12301969,646
2019,12626938,646
2020,12952209,646
1990,162797,882
1991,164000,882
1992,165490,882
1993,167117,882
1994,168689,882
1995,170050,882
1996,171165,882
1997,172065,882
1998,172839,882
1999,173606,882
2000,174454,882
2001,175394,882
2002,176410,882
2003,177481,882
2004,178597,882
2005,179722,882
2006,180874,882
2007,182045,882
2008,183270,882
2009,184553,882
2010,185944,882
2011,187469,882
2012,189089,882
2013,190712,882
2014,192220,882
2015,193510,882
2016,194540,882
2017,195358,882
2018,196128,882
2019,197093,882
2020,198410,882
1990,24124,674
1991,24454,674
1992,24830,674
1993,25208,674
1994,25588,674
1995,25925,674
1996,26253,674
1997,26563,674
1998,26851,674
1999,27141,674
2000,27460,674
2001,27818,674
2002,28175,674
2003,28561,674
2004,28942,674
2005,29324,674
2006,29694,674
2007,30068,674
2008,30434,674
2009,30825,674
2010,31221,674
2011,31655,674
2012,32103,674
2013,32554,674
2014,32941,674
2015,33270,674
2016,33503,674
2017,33671,674
2018,33784,674
2019,33864,674
2020,33938,674
1990,119211,678
1991,121949,678
1992,124574,678
1993,127066,678
1994,129426,678
1995,131679,678
1996,133799,678
1997,135831,678
1998,137855,678
1999,139964,678
2000,142264,678
2001,144760,678
2002,147450,678
2003,150405,678
2004,153736,678
2005,157472,678
2006,161676,678
2007,166297,678
2008,171122,678
2009,175877,678
2010,180372,678
2011,184521,678
2012,188394,678
2013,192076,678
2014,195727,678
2015,199439,678
2016,203221,678
2017,207086,678
2018,211032,678
2019,215048,678
2020,219161,678
1990,16233786,682
1991,16772695,682
1992,17282686,682
1993,17763297,682
1994,18214475,682
1995,18638790,682
1996,19033843,682
1997,19407138,682
1998,19783301,682
1999,20194531,682
2000,20663840,682
2001,21202646,682
2002,21805322,682
2003,22456645,682
2004,23132686,682
2005,23816175,682
2006,24498313,682
2007,25184589,682
2008,25888535,682
2009,26630303,682
2010,27421468,682
2011,28267591,682
2012,29154906,682
2013,30052058,682
2014,30916603,682
2015,31717676,682
2016,32443443,682
2017,33101183,682
2018,33702757,682
2019,34268529,682
2020,34813867,682
1990,7526306,686
1991,7755503,686
1992,7990090,686
1993,8226749,686
1994,8461066,686
1995,8690155,686
1996,8912872,686
1997,9130876,686
1998,9347777,686
1999,9568717,686
2000,9797731,686
2001,10036102,686
2002,10283694,686
2003,10541470,686
2004,10810086,686
2005,11090123,686
2006,11382272,686
2007,11687078,686
2008,12004700,686
2009,12335092,686
2010,12678143,686
2011,13033814,686
2012,13401990,686
2013,13782429,686
2014,14174740,686
2015,14578450,686
2016,14993514,686
2017,15419354,686
2018,15854324,686
2019,16296362,686
2020,16743930,686
1990,7586000,688
1991,7595636,688
1992,7646424,688
1993,7699307,688
1994,7734639,688
1995,7625357,688
1996,7617794,688
1997,7596501,688
1998,7567745,688
1999,7540401,688
2000,7516346,688
2001,7503433,688
2002,7496522,688
2003,7480591,688
2004,7463157,688
2005,7440769,688
2006,7411569,688
2007,7381579,688
2008,7350222,688
2009,7320807,688
2010,7291436,688
2011,7234099,688
2012,7199077,688
2013,7164132,688
2014,7130576,688
2015,7095383,688
2016,7058322,688
2017,7020858,688
2018,6982604,688
2019,6945235,688
2020,6899126,688
1990,69507,690
1991,70439,690
1992,70763,690
1993,72253,690
1994,74205,690
1995,75304,690
1996,76417,690
1997,77319,690
1998,78846,690
1999,80410,690
2000,81131,690
2001,81202,690
2002,83723,690
2003,82781,690
2004,82475,690
2005,82858,690
2006,84600,690
2007,85033,690
2008,86956,690
2009,87298,690
2010,89770,690
2011,87441,690
2012,88303,690
2013,89949,690
2014,91359,690
2015,93419,690
2016,94677,690
2017,95843,690
2018,96762,690
2019,97625,690
2020,98462,690
1990,4319763,694
1991,4348663,694
1992,4347727,694
1993,4328965,694
1994,4309780,694
1995,4303953,694
1996,4312660,694
1997,4335295,694
1998,4381484,694
1999,4462374,694
2000,4584570,694
2001,4754069,694
2002,4965770,694
2003,5201074,694
2004,5433995,694
2005,5645629,694
2006,5829240,694
2007,5989641,694
2008,6133599,694
2009,6272735,694
2010,6415636,694
2011,6563238,694
2012,6712586,694
2013,6863975,694
2014,7017153,694
2015,7171909,694
2016,7328846,694
2017,7488427,694
2018,7650149,694
2019,7813207,694
2020,7976985,694
1990,3047132,702
1991,3135083,702
1992,3230698,702
1993,3313471,702
1994,3419048,702
1995,3524506,702
1996,3670704,702
1997,3796038,702
1998,3927213,702
1999,3958723,702
2000,4027887,702
2001,4138012,702
2002,4175950,702
2003,4114826,702
2004,4166664,702
2005,4265762,702
2006,4401365,702
2007,4588599,702
2008,4839396,702
2009,4987573,702
2010,5076732,702
2011,5183688,702
2012,5312437,702
2013,5399162,702
2014,5469724,702
2015,5535002,702
2016,5607283,702
2017,5612253,702
2018,5638676,702
2019,5703569,702
2020,5685807,702
1990,28814,534
1991,29852,534
1992,30458,534
1993,30765,534
1994,30950,534
1995,31164,534
1996,31434,534
1997,31731,534
1998,31240,534
1999,31084,534
2000,30519,534
2001,30600,534
2002,30777,534
2003,31472,534
2004,32488,534
2005,33011,534
2006,33441,534
2007,33811,534
2008,33964,534
2009,34238,534
2010,34056,534
2011,33435,534
2012,34640,534
2013,36607,534
2014,37685,534
2015,38825,534
2016,39969,534
2017,40574,534
2018,40895,534
2019,41608,534
2020,42310,534
1990,5299187,703
1991,5303294,703
1992,5305016,703
1993,5325305,703
1994,5346331,703
1995,5361999,703
1996,5373361,703
1997,5383291,703
1998,5390516,703
1999,5396020,703
2000,5388720,703
2001,5378867,703
2002,5376912,703
2003,5373374,703
2004,5372280,703
2005,5372807,703
2006,5373054,703
2007,5374622,703
2008,5379233,703
2009,5386406,703
2010,5391428,703
2011,5398384,703
2012,5407579,703
2013,5413393,703
2014,5418649,703
2015,5423801,703
2016,5430798,703
2017,5439232,703
2018,5446771,703
2019,5454147,703
2020,5458827,703
1990,1998161,705
1991,1999429,705
1992,1996498,705
1993,1991746,705
1994,1989443,705
1995,1989872,705
1996,1988628,705
1997,1985956,705
1998,1981629,705
1999,1983045,705
2000,1988925,705
2001,1992060,705
2002,1994530,705
2003,1995733,705
2004,1997012,705
2005,2000474,705
2006,2006868,705
2007,2018122,705
2008,2021316,705
2009,2039669,705
2010,2048583,705
2011,2052843,705
2012,2057159,705
2013,2059953,705
2014,2061980,705
2015,2063531,705
2016,2065042,705
2017,2066388,705
2018,2073894,705
2019,2088385,705
2020,2102419,705
1990,311869,90
1991,320781,90
1992,330004,90
1993,339501,90
1994,349273,90
1995,359276,90
1996,369517,90
1997,379998,90
1998,390702,90
1999,401592,90
2000,412665,90
2001,423949,90
2002,435434,90
2003,447016,90
2004,458549,90
2005,469918,90
2006,481086,90
2007,492133,90
2008,503366,90
2009,515182,90
2010,527861,90
2011,541522,90
2012,556066,90
2013,571329,90
2014,587079,90
2015,603133,90
2016,619438,90
2017,636030,90
2018,652856,90
2019,669821,90
2020,686878,90
1990,7225089,706
1991,7274026,706
1992,7295380,706
1993,7315864,706
1994,7372592,706
1995,7491647,706
1996,7682683,706
1997,7936122,706
1998,8235064,706
1999,8553595,706
2000,8872250,706
2001,9186719,706
2002,9501335,706
2003,9815412,706
2004,10130251,706
2005,10446856,706
2006,10763904,706
2007,11080122,706
2008,11397188,706
2009,11717691,706
2010,12043886,706
2011,12376305,706
2012,12715487,706
2013,13063711,706
2014,13423571,706
2015,13797204,706
2016,14185635,706
2017,14589165,706
2018,15008225,706
2019,15442906,706
2020,15893219,706
1990,36800507,710
1991,37718952,710
1992,38672611,710
1993,39633754,710
1994,40564061,710
1995,41435761,710
1996,42241007,710
1997,42987456,710
1998,43682259,710
1999,44338551,710
2000,44967713,710
2001,45571272,710
2002,46150913,710
2003,46719203,710
2004,47291610,710
2005,47880595,710
2006,48489464,710
2007,49119766,710
2008,49779472,710
2009,50477013,710
2010,51216967,710
2011,52003759,710
2012,52832659,710
2013,53687125,710
2014,54544184,710
2015,55386369,710
2016,56207649,710
2017,57009751,710
2018,57792520,710
2019,58558267,710
2020,59308690,710
1990,5492620,728
1991,5420179,728
1992,5305449,728
1993,5185712,728
1994,5111371,728
1995,5118084,728
1996,5221925,728
1997,5411653,728
1998,5661934,728
1999,5933884,728
2000,6199396,728
2001,6447791,728
2002,6688225,728
2003,6935665,728
2004,7213354,728
2005,7535931,728
2006,7907407,728
2007,8315144,728
2008,8736932,728
2009,9142258,728
2010,9508372,728
2011,9830695,728
2012,10113648,728
2013,10355030,728
2014,10554882,728
2015,10715657,728
2016,10832520,728
2017,10910774,728
2018,10975924,728
2019,11062114,728
2020,11193729,728
1990,38867322,724
1991,38966376,724
1992,39157685,724
1993,39361262,724
1994,39549108,724
1995,39724050,724
1996,39889852,724
1997,40057389,724
1998,40223509,724
1999,40386875,724
2000,40567864,724
2001,40850412,724
2002,41431558,724
2003,42187645,724
2004,42921895,724
2005,43653155,724
2006,44397319,724
2007,45226803,724
2008,45954106,724
2009,46362946,724
2010,46576897,724
2011,46742697,724
2012,46773055,724
2013,46620045,724
2014,46480882,724
2015,46444832,724
2016,46484062,724
2017,46593236,724
2018,46797754,724
2019,47134837,724
2020,47363419,724
1990,17325769,144
1991,17535732,144
1992,17736827,144
1993,17924827,144
1994,18094474,144
1995,18242917,144
1996,18367290,144
1997,18470897,144
1998,18564595,144
1999,18663293,144
2000,18777606,144
2001,18911727,144
2002,19062476,144
2003,19224036,144
2004,19387153,144
2005,19544988,144
2006,19695977,144
2007,19842044,144
2008,19983984,144
2009,20123508,144
2010,20261738,144
2011,20398496,144
2012,20425000,144
2013,20585000,144
2014,20778000,144
2015,20970000,144
2016,21203000,144
2017,21444000,144
2018,21670000,144
2019,21803000,144
2020,21919000,144
1990,40260,659
1991,40381,659
1992,40691,659
1993,41141,659
1994,41618,659
1995,42077,659
1996,42472,659
1997,42857,659
1998,43225,659
1999,43622,659
2000,44083,659
2001,44602,659
2002,45168,659
2003,45749,659
2004,46323,659
2005,46852,659
2006,47333,659
2007,47769,659
2008,48178,659
2009,48599,659
2010,49011,659
2011,49442,659
2012,49881,659
2013,50328,659
2014,50776,659
2015,51204,659
2016,51629,659
2017,52036,659
2018,52438,659
2019,52834,659
2020,53192,659
1990,138019,662
1991,140001,662
1992,141758,662
1993,143402,662
1994,145080,662
1995,146871,662
1996,148837,662
1997,150920,662
1998,153023,662
1999,154988,662
2000,156737,662
2001,158184,662
2002,159392,662
2003,160530,662
2004,161821,662
2005,163408,662
2006,165378,662
2007,167644,662
2008,170011,662
2009,172223,662
2010,174092,662
2011,175538,662
2012,176654,662
2013,177505,662
2014,178307,662
2015,179131,662
2016,180028,662
2017,180955,662
2018,181890,662
2019,182795,662
2020,183629,662
1990,31522,663
1991,32441,663
1992,31816,663
1993,30194,663
1994,28482,663
1995,27320,663
1996,26854,663
1997,26910,663
1998,27388,663
1999,28122,663
2000,28935,663
2001,29847,663
2002,30913,663
2003,32055,663
2004,33187,663
2005,34252,663
2006,35240,663
2007,36138,663
2008,36880,663
2009,37380,663
2010,37582,663
2011,37451,663
2012,37012,663
2013,36458,663
2014,36018,663
2015,35865,663
2016,36061,663
2017,36569,663
2018,37264,663
2019,38002,663
2020,38659,663
1990,107489,670
1991,107772,670
1992,107941,670
1993,108036,670
